Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation strength
Otu0776,Otu0781,0.481853,0,0,0.481853,2
Otu0776,Otu0796,0.28728,0.003496,0.047188114,0.28728,1
Otu0776,Otu1703,0.274042,0.002836,0.040322764,0.274042,1
Otu0776,Otu1915,-0.277499,0.000592,0.013226971,0.277499,1
Otu0781,Otu1891,-0.295363,0.000724,0.0147696,0.295363,1
Otu0781,Otu1903,-0.290908,0.000428,0.01045925,0.290908,1
Otu0781,Otu1915,-0.298923,0.000248,0.007364658,0.298923,1
Otu0790,Otu0792,0.519031,0,0,0.519031,2
Otu0790,Otu0795,0.415957,5.20E-05,0.002346,0.415957,2
Otu0790,Otu0796,0.464617,4.00E-06,0.000246947,0.464617,2
Otu0790,Otu0798,0.345748,7.00E-04,0.0147696,0.345748,1
Otu0790,Otu0804,0.295673,0.00352,0.047188114,0.295673,1
Otu0790,Otu0805,0.460296,4.00E-06,0.000246947,0.460296,2
Otu0792,Otu0795,0.852161,0,0,0.852161,3
Otu0792,Otu0796,0.817355,0,0,0.817355,3
Otu0792,Otu0797,0.610738,0,0,0.610738,3
Otu0792,Otu0798,0.638521,0,0,0.638521,3
Otu0792,Otu0801,0.624104,0,0,0.624104,3
Otu0792,Otu0804,0.760302,0,0,0.760302,3
Otu0792,Otu0805,0.808686,0,0,0.808686,3
Otu0792,Otu0809,0.481155,0,0,0.481155,2
Otu0792,Otu1897,-0.212316,0.00256,0.037772075,0.212316,1
Otu0795,Otu0796,0.761173,0,0,0.761173,3
Otu0795,Otu0797,0.596743,0,0,0.596743,2
Otu0795,Otu0798,0.496721,4.00E-06,0.000246947,0.496721,2
Otu0795,Otu0801,0.70937,0,0,0.70937,3
Otu0795,Otu0804,0.752373,0,0,0.752373,3
Otu0795,Otu0805,0.783613,0,0,0.783613,3
Otu0795,Otu0809,0.489828,4.00E-06,0.000246947,0.489828,2
Otu0795,Otu1887,-0.317152,0.000236,0.007098154,0.317152,1
Otu0795,Otu1897,-0.210514,0.002784,0.03982478,0.210514,1
Otu0796,Otu0797,0.502677,0,0,0.502677,2
Otu0796,Otu0798,0.582385,0,0,0.582385,2
Otu0796,Otu0801,0.475222,0,0,0.475222,2
Otu0796,Otu0804,0.662482,0,0,0.662482,3
Otu0796,Otu0805,0.734941,0,0,0.734941,3
Otu0796,Otu0809,0.359054,0.000384,0.009792,0.359054,1
Otu0796,Otu1887,-0.261788,0.001172,0.020829636,0.261788,1
Otu0797,Otu0798,0.317369,0.00164,0.027094648,0.317369,1
Otu0797,Otu0801,0.441556,1.60E-05,0.0009384,0.441556,2
Otu0797,Otu0804,0.476264,0,0,0.476264,2
Otu0797,Otu0805,0.598823,0,0,0.598823,2
Otu0797,Otu0809,0.486216,0,0,0.486216,2
Otu0797,Otu1887,-0.339357,1.00E-04,0.00391,0.339357,1
Otu0798,Otu0804,0.525523,0,0,0.525523,2
Otu0798,Otu0805,0.526792,0,0,0.526792,2
Otu0798,Otu0809,0.330919,0.0012,0.021061867,0.330919,1
Otu0801,Otu0804,0.53215,0,0,0.53215,2
Otu0801,Otu0805,0.551618,0,0,0.551618,2
Otu0801,Otu0809,0.334895,0.001024,0.018622512,0.334895,1
Otu0804,Otu0805,0.715098,0,0,0.715098,3
Otu0804,Otu0809,0.453703,0,0,0.453703,2
Otu0804,Otu1887,-0.287404,0.000352,0.009175467,0.287404,1
Otu0804,Otu1897,-0.262726,0.000188,0.006392,0.262726,1
Otu0805,Otu0809,0.364696,0.00032,0.008530909,0.364696,1
Otu0805,Otu1887,-0.313262,0.000264,0.007646222,0.313262,1
Otu0809,Otu0918,0.280544,0.003712,0.049199729,0.280544,1
Otu0817,Otu0915,-0.33785,0.000404,0.010082809,0.33785,1
Otu0817,Otu0918,-0.284035,0.001104,0.01977087,0.284035,1
Otu0817,Otu0968,0.319488,0.000256,0.0075072,0.319488,1
Otu0817,Otu1932,-0.293286,0.00046,0.011125361,0.293286,1
Otu0886,Otu0967,0.292474,0.000488,0.011564121,0.292474,1
Otu0915,Otu0918,0.373794,0.000196,0.0065688,0.373794,1
Otu0945,Otu0968,0.296887,0.00058,0.013173692,0.296887,1
Otu0945,Otu1887,0.28781,0.002144,0.032874667,0.28781,1
Otu0967,Otu0968,-0.215917,0.001452,0.024158809,0.215917,1
Otu0967,Otu1937,-0.240743,0.000572,0.013156,0.240743,1
Otu0967,Otu1957,-0.237049,0.000924,0.017204,0.237049,1
Otu0968,Otu1900,0.255292,0.002504,0.037179646,0.255292,1
Otu1109,Otu1501,-0.203106,0.003216,0.044643408,0.203106,1
Otu1149,Otu1917,-0.185205,0.00272,0.039634286,0.185205,0
Otu1149,Otu1932,-0.281839,3.60E-05,0.0017595,0.281839,1
Otu1404,Otu1887,-0.285995,0.000276,0.007896293,0.285995,1
Otu1404,Otu1932,0.359107,8.80E-05,0.003499119,0.359107,1
Otu1501,Otu1703,0.335893,4.80E-05,0.00225216,0.335893,1
Otu1501,Otu1717,0.288032,0.000984,0.018176882,0.288032,1
Otu1661,Otu1717,0.367011,3.20E-05,0.001668267,0.367011,1
Otu1661,Otu1915,-0.229977,0.00128,0.02208,0.229977,1
Otu1661,Otu1947,0.318403,0.000116,0.004319619,0.318403,1
Otu1797,Otu1937,-0.234889,0.000468,0.011203347,0.234889,1
Otu1840,Otu1887,-0.253645,0.00062,0.013593645,0.253645,1
Otu1840,Otu1932,0.386797,8.00E-06,0.000481231,0.386797,1
Otu1891,Otu1900,0.342219,0.000312,0.008413241,0.342219,1
Otu1891,Otu1907,0.278621,0.002456,0.037057834,0.278621,1
Otu1895,Otu1903,0.321865,0.000332,0.008751371,0.321865,1
Otu1895,Otu1917,0.248778,0.003516,0.047188114,0.248778,1
Otu1903,Otu1917,0.335884,0.000116,0.004319619,0.335884,1
Otu1903,Otu1937,0.294588,0.001,0.018328125,0.294588,1
Otu1915,Otu1957,0.290829,0.001204,0.021061867,0.290829,1
Otu0030,Otu0030,0,1,1,0,0
Otu0291,Otu0291,0,1,1,0,0
Otu0302,Otu0302,0,1,1,0,0
Otu0309,Otu0309,0,1,1,0,0
Otu0314,Otu0314,0,1,1,0,0
Otu0348,Otu0348,0,1,1,0,0
Otu0465,Otu0465,0,1,1,0,0
Otu0501,Otu0501,0,1,1,0,0
Otu0528,Otu0528,0,1,1,0,0
Otu0552,Otu0552,0,1,1,0,0
Otu0599,Otu0599,0,1,1,0,0
Otu0616,Otu0616,0,1,1,0,0
Otu0664,Otu0664,0,1,1,0,0
Otu0669,Otu0669,0,1,1,0,0
Otu0691,Otu0691,0,1,1,0,0
Otu0705,Otu0705,0,1,1,0,0
Otu0711,Otu0711,0,1,1,0,0
Otu0716,Otu0716,0,1,1,0,0
Otu0728,Otu0728,0,1,1,0,0
Otu0745,Otu0745,0,1,1,0,0
Otu0772,Otu0772,0,1,1,0,0
Otu0776,Otu0776,0,1,1,0,0
Otu0781,Otu0781,0,1,1,0,0
Otu0790,Otu0790,0,1,1,0,0
Otu0792,Otu0792,0,1,1,0,0
Otu0795,Otu0795,0,1,1,0,0
Otu0796,Otu0796,0,1,1,0,0
Otu0797,Otu0797,0,1,1,0,0
Otu0798,Otu0798,0,1,1,0,0
Otu0800,Otu0800,0,1,1,0,0
Otu0801,Otu0801,0,1,1,0,0
Otu0804,Otu0804,0,1,1,0,0
Otu0805,Otu0805,0,1,1,0,0
Otu0809,Otu0809,0,1,1,0,0
Otu0817,Otu0817,0,1,1,0,0
Otu0886,Otu0886,0,1,1,0,0
Otu0915,Otu0915,0,1,1,0,0
Otu0918,Otu0918,0,1,1,0,0
Otu0945,Otu0945,0,1,1,0,0
Otu0967,Otu0967,0,1,1,0,0
Otu0968,Otu0968,0,1,1,0,0
Otu1109,Otu1109,0,1,1,0,0
Otu1149,Otu1149,0,1,1,0,0
Otu1404,Otu1404,0,1,1,0,0
Otu1411,Otu1411,0,1,1,0,0
Otu1501,Otu1501,0,1,1,0,0
Otu1661,Otu1661,0,1,1,0,0
Otu1703,Otu1703,0,1,1,0,0
Otu1717,Otu1717,0,1,1,0,0
Otu1797,Otu1797,0,1,1,0,0
Otu1840,Otu1840,0,1,1,0,0
Otu1853,Otu1853,0,1,1,0,0
Otu1858,Otu1858,0,1,1,0,0
Otu1887,Otu1887,0,1,1,0,0
Otu1891,Otu1891,0,1,1,0,0
Otu1895,Otu1895,0,1,1,0,0
Otu1897,Otu1897,0,1,1,0,0
Otu1899,Otu1899,0,1,1,0,0
Otu1900,Otu1900,0,1,1,0,0
Otu1903,Otu1903,0,1,1,0,0
Otu1907,Otu1907,0,1,1,0,0
Otu1915,Otu1915,0,1,1,0,0
Otu1917,Otu1917,0,1,1,0,0
Otu1932,Otu1932,0,1,1,0,0
Otu1935,Otu1935,0,1,1,0,0
Otu1937,Otu1937,0,1,1,0,0
Otu1947,Otu1947,0,1,1,0,0
Otu1957,Otu1957,0,1,1,0,0
Otu1985,Otu1985,0,1,1,0,0
