Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation.strength
Otu0968,Otu1411,-0.20266,0.02507,0.22713954,0.20266,1
Otu0968,Otu1501,-0.281913,0.00279,0.093504857,0.281913,1
Otu0968,Otu1840,-0.187727,0.04708,0.276875038,0.187727,0
Otu0968,Otu1887,0.303197,0.01297,0.170941685,0.303197,1
Otu0968,Otu1932,-0.259014,0.0116,0.163521786,0.259014,1
Otu0968,Otu1985,0.308702,0.00809,0.141810448,0.308702,1
Otu1109,Otu1853,0.256946,0.0351,0.253638967,0.256946,1
Otu1109,Otu1858,-0.183601,0.02966,0.235075541,0.183601,0
Otu1109,Otu1891,-0.215634,0.04507,0.274756208,0.215634,1
Otu1109,Otu1895,-0.193677,0.04767,0.27815198,0.193677,0
Otu1149,Otu1501,0.237242,0.02785,0.233180712,0.237242,1
Otu1149,Otu1840,-0.263277,0.0038,0.103660465,0.263277,1
Otu1149,Otu1891,-0.244866,0.00963,0.14766,0.244866,1
Otu1149,Otu1907,-0.218262,0.0114,0.162087273,0.218262,1
Otu1149,Otu1915,-0.256652,0.00447,0.110385474,0.256652,1
Otu1149,Otu1937,-0.186998,0.02193,0.21436575,0.186998,0
Otu1149,Otu1957,-0.186491,0.029,0.235075541,0.186491,0
Otu1149,Otu1985,-0.172465,0.03545,0.253638967,0.172465,0
Otu1404,Otu1887,-0.316606,0.00869,0.144586809,0.316606,1
Otu1404,Otu1932,0.302734,0.01865,0.204452804,0.302734,1
Otu1404,Otu1947,0.264185,0.03387,0.248822625,0.264185,1
Otu1411,Otu1853,0.314486,0.01204,0.164488114,0.314486,1
Otu1411,Otu1887,-0.244442,0.02312,0.218707742,0.244442,1
Otu1411,Otu1899,-0.199162,0.02902,0.235075541,0.199162,0
Otu1411,Otu1903,-0.24464,0.0154,0.190326769,0.24464,1
Otu1411,Otu1915,-0.302914,0.00375,0.103660465,0.302914,1
Otu1501,Otu1947,-0.186336,0.04403,0.271175433,0.186336,0
Otu1661,Otu1899,-0.246745,0.01003,0.151599114,0.246745,1
Otu1703,Otu1840,-0.217526,0.03096,0.239710099,0.217526,1
Otu1703,Otu1917,0.243934,0.0242,0.224717244,0.243934,1
Otu1717,Otu1899,-0.233527,0.01904,0.206795556,0.233527,1
Otu1717,Otu1937,-0.282609,0.00758,0.139693636,0.282609,1
Otu1797,Otu1947,0.243232,0.04016,0.267900167,0.243232,1
Otu1840,Otu1907,0.414215,0.00105,0.055984091,0.414215,2
Otu1840,Otu1947,-0.233094,0.0294,0.235075541,0.233094,1
Otu1853,Otu1858,-0.237703,0.01199,0.164488114,0.237703,1
Otu1853,Otu1937,-0.29011,0.00749,0.139456667,0.29011,1
Otu1887,Otu1900,0.252646,0.04451,0.27335199,0.252646,1
Otu1887,Otu1932,-0.311664,0.00902,0.144937808,0.311664,1
Otu1891,Otu1903,0.310869,0.01678,0.195850149,0.310869,1
Otu1891,Otu1915,0.413167,0.00176,0.068816,0.413167,2
Otu1891,Otu1937,0.291854,0.02085,0.211542747,0.291854,1
Otu1891,Otu1985,0.240228,0.04765,0.27815198,0.240228,1
Otu1895,Otu1903,0.411863,0.00091,0.054181429,0.411863,2
Otu1895,Otu1915,0.295719,0.01635,0.193722727,0.295719,1
Otu1897,Otu1907,0.206262,0.04465,0.273495822,0.206262,1
Otu1899,Otu1915,0.257498,0.02686,0.229976496,0.257498,1
Otu1899,Otu1917,0.269092,0.01227,0.164488114,0.269092,1
Otu1899,Otu1937,0.268046,0.01949,0.207636923,0.268046,1
Otu1899,Otu1947,-0.286486,0.00463,0.1112004,0.286486,1
