Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation.strength
Otu1501,Otu1797,0.352705,0.00401,0.170085,0.352705,1
Otu1501,Otu1891,-0.235236,0.03125,0.295464096,0.235236,1
Otu1501,Otu1900,-0.265128,0.01057,0.230941101,0.265128,1
Otu1501,Otu1915,-0.282985,0.0058,0.188983333,0.282985,1
Otu1501,Otu1937,-0.378586,0.00028,0.041055,0.378586,1
Otu1661,Otu1947,0.404503,0.00177,0.118640571,0.404503,2
Otu1703,Otu1897,-0.207108,0.01499,0.248676,0.207108,1
Otu1703,Otu1903,-0.219704,0.02382,0.278977537,0.219704,1
Otu1717,Otu1887,0.290972,0.03622,0.314711556,0.290972,1
Otu1717,Otu1907,-0.232089,0.02584,0.283274019,0.232089,1
Otu1717,Otu1917,-0.276373,0.00922,0.2214624,0.276373,1
Otu1797,Otu1897,-0.203899,0.01406,0.242535,0.203899,1
Otu1797,Otu1915,-0.273,0.00885,0.220277053,0.273,1
Otu1797,Otu1937,-0.341167,0.00139,0.108698,0.341167,1
Otu1797,Otu1985,-0.20177,0.03487,0.312683284,0.20177,1
Otu1858,Otu1895,0.227445,0.0458,0.337191536,0.227445,1
Otu1858,Otu1897,-0.156122,0.03548,0.312683284,0.156122,0
Otu1858,Otu1935,-0.18418,0.04105,0.329320751,0.18418,0
Otu1858,Otu1937,-0.249401,0.01013,0.228509423,0.249401,1
Otu1858,Otu1957,-0.22409,0.02019,0.269532198,0.22409,1
Otu1891,Otu1900,0.275934,0.04429,0.337191536,0.275934,1
Otu1891,Otu1915,0.382568,0.00602,0.190808,0.382568,1
Otu1891,Otu1935,0.375983,0.00859,0.219464516,0.375983,1
Otu1891,Otu1985,0.362112,0.00747,0.21505,0.362112,1
Otu1899,Otu1917,0.343408,0.00152,0.110901818,0.343408,1
Otu1900,Otu1957,0.304761,0.02157,0.270605455,0.304761,1
Otu1900,Otu1985,0.279282,0.02566,0.282621408,0.279282,1
Otu1903,Otu1915,0.256005,0.03662,0.315807692,0.256005,1
Otu1907,Otu1932,0.28864,0.0234,0.275861307,0.28864,1
Otu1907,Otu1947,0.295493,0.01636,0.251933503,0.295493,1
Otu1915,Otu1935,0.263085,0.03572,0.312683284,0.263085,1
Otu1917,Otu1985,0.231379,0.03866,0.325076559,0.231379,1
Otu0030,Otu0030,0,1,1,0,0
Otu0291,Otu0291,0,1,1,0,0
Otu0302,Otu0302,0,1,1,0,0
Otu0309,Otu0309,0,1,1,0,0
Otu0314,Otu0314,0,1,1,0,0
Otu0348,Otu0348,0,1,1,0,0
Otu0465,Otu0465,0,1,1,0,0
Otu0501,Otu0501,0,1,1,0,0
Otu0528,Otu0528,0,1,1,0,0
Otu0552,Otu0552,0,1,1,0,0
Otu0599,Otu0599,0,1,1,0,0
Otu0616,Otu0616,0,1,1,0,0
Otu0664,Otu0664,0,1,1,0,0
Otu0669,Otu0669,0,1,1,0,0
Otu0691,Otu0691,0,1,1,0,0
Otu0705,Otu0705,0,1,1,0,0
Otu0711,Otu0711,0,1,1,0,0
Otu0716,Otu0716,0,1,1,0,0
Otu0728,Otu0728,0,1,1,0,0
Otu0745,Otu0745,0,1,1,0,0
Otu0772,Otu0772,0,1,1,0,0
Otu0776,Otu0776,0,1,1,0,0
Otu0781,Otu0781,0,1,1,0,0
Otu0790,Otu0790,0,1,1,0,0
Otu0792,Otu0792,0,1,1,0,0
Otu0795,Otu0795,0,1,1,0,0
Otu0796,Otu0796,0,1,1,0,0
Otu0797,Otu0797,0,1,1,0,0
Otu0798,Otu0798,0,1,1,0,0
Otu0800,Otu0800,0,1,1,0,0
Otu0801,Otu0801,0,1,1,0,0
Otu0804,Otu0804,0,1,1,0,0
Otu0805,Otu0805,0,1,1,0,0
Otu0809,Otu0809,0,1,1,0,0
Otu0817,Otu0817,0,1,1,0,0
Otu0886,Otu0886,0,1,1,0,0
Otu0915,Otu0915,0,1,1,0,0
Otu0918,Otu0918,0,1,1,0,0
Otu0945,Otu0945,0,1,1,0,0
Otu0967,Otu0967,0,1,1,0,0
Otu0968,Otu0968,0,1,1,0,0
Otu1109,Otu1109,0,1,1,0,0
Otu1149,Otu1149,0,1,1,0,0
Otu1404,Otu1404,0,1,1,0,0
Otu1411,Otu1411,0,1,1,0,0
Otu1501,Otu1501,0,1,1,0,0
Otu1661,Otu1661,0,1,1,0,0
Otu1703,Otu1703,0,1,1,0,0
Otu1717,Otu1717,0,1,1,0,0
Otu1797,Otu1797,0,1,1,0,0
Otu1840,Otu1840,0,1,1,0,0
Otu1853,Otu1853,0,1,1,0,0
Otu1858,Otu1858,0,1,1,0,0
Otu1887,Otu1887,0,1,1,0,0
Otu1891,Otu1891,0,1,1,0,0
Otu1895,Otu1895,0,1,1,0,0
Otu1897,Otu1897,0,1,1,0,0
Otu1899,Otu1899,0,1,1,0,0
Otu1900,Otu1900,0,1,1,0,0
Otu1903,Otu1903,0,1,1,0,0
Otu1907,Otu1907,0,1,1,0,0
Otu1915,Otu1915,0,1,1,0,0
Otu1917,Otu1917,0,1,1,0,0
Otu1932,Otu1932,0,1,1,0,0
Otu1935,Otu1935,0,1,1,0,0
Otu1937,Otu1937,0,1,1,0,0
Otu1947,Otu1947,0,1,1,0,0
Otu1957,Otu1957,0,1,1,0,0
Otu1985,Otu1985,0,1,1,0,0
