Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation strength
Otu0797,Otu0809,0.617616,6.00E-06,0.000402171,0.617616,3
Otu0797,Otu1797,-0.354857,0.00171,0.03749215,0.354857,1
Otu0797,Otu1900,0.44798,0.000918,0.027610615,0.44798,2
Otu0798,Otu0801,0.478407,0.000633,0.022164448,0.478407,2
Otu0798,Otu0804,0.800001,0,0,0.800001,3
Otu0798,Otu0805,0.751406,0,0,0.751406,3
Otu0798,Otu0809,0.491507,6.00E-04,0.021327273,0.491507,2
Otu0801,Otu0804,0.658841,3.00E-06,0.000213273,0.658841,3
Otu0801,Otu0805,0.665697,3.00E-06,0.000213273,0.665697,3
Otu0801,Otu0809,0.523249,0.000165,0.0077418,0.523249,2
Otu0801,Otu1900,0.471801,0.000435,0.0170085,0.471801,2
Otu0804,Otu0805,0.886402,0,0,0.886402,3
Otu0804,Otu0809,0.684422,0,0,0.684422,3
Otu0804,Otu1900,0.429273,0.001557,0.03546332,0.429273,2
Otu0805,Otu0809,0.584264,4.80E-05,0.002618791,0.584264,2
Otu0805,Otu1900,0.446657,0.000984,0.028323659,0.446657,2
Otu0915,Otu0918,0.670543,0,0,0.670543,3
Otu0918,Otu1858,-0.414404,0.000216,0.009561057,0.414404,2
Otu0967,Otu1858,0.465631,5.10E-05,0.002719227,0.465631,2
Otu0968,Otu1853,0.415165,0.000909,0.027610615,0.415165,2
Otu1404,Otu1917,0.408477,0.001332,0.032893389,0.408477,2
Otu1891,Otu1900,0.471249,0.000447,0.01719118,0.471249,2
Otu1903,Otu1915,0.438485,0.000537,0.019381569,0.438485,2
Otu0030,Otu0030,0,1,1,0,0
Otu0291,Otu0291,0,1,1,0,0
Otu0302,Otu0302,0,1,1,0,0
Otu0309,Otu0309,0,1,1,0,0
Otu0314,Otu0314,0,1,1,0,0
Otu0348,Otu0348,0,1,1,0,0
Otu0465,Otu0465,0,1,1,0,0
Otu0501,Otu0501,0,1,1,0,0
Otu0528,Otu0528,0,1,1,0,0
Otu0552,Otu0552,0,1,1,0,0
Otu0599,Otu0599,0,1,1,0,0
Otu0616,Otu0616,0,1,1,0,0
Otu0664,Otu0664,0,1,1,0,0
Otu0669,Otu0669,0,1,1,0,0
Otu0691,Otu0691,0,1,1,0,0
Otu0705,Otu0705,0,1,1,0,0
Otu0711,Otu0711,0,1,1,0,0
Otu0716,Otu0716,0,1,1,0,0
Otu0728,Otu0728,0,1,1,0,0
Otu0745,Otu0745,0,1,1,0,0
Otu0772,Otu0772,0,1,1,0,0
Otu0776,Otu0776,0,1,1,0,0
Otu0781,Otu0781,0,1,1,0,0
Otu0790,Otu0790,0,1,1,0,0
Otu0792,Otu0792,0,1,1,0,0
Otu0795,Otu0795,0,1,1,0,0
Otu0796,Otu0796,0,1,1,0,0
Otu0797,Otu0797,0,1,1,0,0
Otu0798,Otu0798,0,1,1,0,0
Otu0800,Otu0800,0,1,1,0,0
Otu0801,Otu0801,0,1,1,0,0
Otu0804,Otu0804,0,1,1,0,0
Otu0805,Otu0805,0,1,1,0,0
Otu0809,Otu0809,0,1,1,0,0
Otu0817,Otu0817,0,1,1,0,0
Otu0886,Otu0886,0,1,1,0,0
Otu0915,Otu0915,0,1,1,0,0
Otu0918,Otu0918,0,1,1,0,0
