Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation strength
Otu1895,Otu1915,0.32778,0.00312,0.021367067,0.32778,1
Otu1897,Otu1932,-0.256042,0.00232,0.017444615,0.256042,1
Otu1899,Otu1947,-0.242063,0.01016,0.049043951,0.242063,1
Otu1900,Otu1947,0.347028,0.003008,0.021064979,0.347028,1
Otu1900,Otu1985,0.367217,0.001352,0.01170403,0.367217,1
Otu1903,Otu1917,0.439977,3.20E-05,0.000834133,0.439977,2
Otu1903,Otu1935,0.290197,0.008724,0.044013987,0.290197,1
Otu1907,Otu1915,0.33233,0.00248,0.0181815,0.33233,1
Otu1907,Otu1935,0.309998,0.00486,0.030004105,0.309998,1
Otu1915,Otu1935,0.409956,0.00024,0.003433171,0.409956,2
Otu1917,Otu1932,0.372346,0.000716,0.007335092,0.372346,1
Otu1917,Otu1935,0.279881,0.009128,0.045177823,0.279881,1
Otu1937,Otu1985,0.289962,0.00862,0.043677149,0.289962,1
Otu1947,Otu1985,0.479838,3.60E-05,0.000918,0.479838,2
Otu0030,Otu0030,0,1,1,0,0
Otu0291,Otu0291,0,1,1,0,0
Otu0302,Otu0302,0,1,1,0,0
Otu0309,Otu0309,0,1,1,0,0
Otu0314,Otu0314,0,1,1,0,0
Otu0348,Otu0348,0,1,1,0,0
Otu0465,Otu0465,0,1,1,0,0
Otu0501,Otu0501,0,1,1,0,0
Otu0528,Otu0528,0,1,1,0,0
Otu0552,Otu0552,0,1,1,0,0
Otu0599,Otu0599,0,1,1,0,0
Otu0616,Otu0616,0,1,1,0,0
Otu0664,Otu0664,0,1,1,0,0
Otu0669,Otu0669,0,1,1,0,0
Otu0691,Otu0691,0,1,1,0,0
Otu0705,Otu0705,0,1,1,0,0
Otu0711,Otu0711,0,1,1,0,0
Otu0716,Otu0716,0,1,1,0,0
Otu0728,Otu0728,0,1,1,0,0
Otu0745,Otu0745,0,1,1,0,0
Otu0772,Otu0772,0,1,1,0,0
Otu0776,Otu0776,0,1,1,0,0
Otu0781,Otu0781,0,1,1,0,0
Otu0790,Otu0790,0,1,1,0,0
Otu0792,Otu0792,0,1,1,0,0
Otu0795,Otu0795,0,1,1,0,0
Otu0796,Otu0796,0,1,1,0,0
Otu0797,Otu0797,0,1,1,0,0
Otu0798,Otu0798,0,1,1,0,0
Otu0800,Otu0800,0,1,1,0,0
Otu0801,Otu0801,0,1,1,0,0
Otu0804,Otu0804,0,1,1,0,0
Otu0805,Otu0805,0,1,1,0,0
Otu0809,Otu0809,0,1,1,0,0
Otu0817,Otu0817,0,1,1,0,0
Otu0886,Otu0886,0,1,1,0,0
Otu0915,Otu0915,0,1,1,0,0
Otu0918,Otu0918,0,1,1,0,0
Otu0945,Otu0945,0,1,1,0,0
Otu0967,Otu0967,0,1,1,0,0
Otu0968,Otu0968,0,1,1,0,0
Otu1109,Otu1109,0,1,1,0,0
Otu1149,Otu1149,0,1,1,0,0
Otu1404,Otu1404,0,1,1,0,0
Otu1411,Otu1411,0,1,1,0,0
Otu1501,Otu1501,0,1,1,0,0
Otu1661,Otu1661,0,1,1,0,0
Otu1703,Otu1703,0,1,1,0,0
Otu1717,Otu1717,0,1,1,0,0
Otu1797,Otu1797,0,1,1,0,0
Otu1840,Otu1840,0,1,1,0,0
Otu1853,Otu1853,0,1,1,0,0
Otu1858,Otu1858,0,1,1,0,0
Otu1887,Otu1887,0,1,1,0,0
Otu1891,Otu1891,0,1,1,0,0
Otu1895,Otu1895,0,1,1,0,0
Otu1897,Otu1897,0,1,1,0,0
Otu1899,Otu1899,0,1,1,0,0
Otu1900,Otu1900,0,1,1,0,0
Otu1903,Otu1903,0,1,1,0,0
Otu1907,Otu1907,0,1,1,0,0
Otu1915,Otu1915,0,1,1,0,0
Otu1917,Otu1917,0,1,1,0,0
Otu1932,Otu1932,0,1,1,0,0
Otu1935,Otu1935,0,1,1,0,0
Otu1937,Otu1937,0,1,1,0,0
Otu1947,Otu1947,0,1,1,0,0
Otu1957,Otu1957,0,1,1,0,0
Otu1985,Otu1985,0,1,1,0,0
