Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation.strength
Otu0809,Otu1887,0.254179,0.045564,0.338269443,0.254179,1
Otu0817,Otu1149,-0.228601,0.00792,0.213566897,0.228601,1
Otu0817,Otu1661,-0.296072,0.003132,0.142925538,0.296072,1
Otu0817,Otu1853,0.290549,0.021408,0.280275713,0.290549,1
Otu0817,Otu1891,0.273502,0.032832,0.322275615,0.273502,1
Otu0817,Otu1957,-0.241835,0.022992,0.288108766,0.241835,1
Otu0886,Otu0968,0.224553,0.022848,0.288108766,0.224553,1
Otu0886,Otu1149,0.171424,0.045096,0.336927439,0.171424,0
Otu0915,Otu0918,0.762234,0,0,0.762234,3
Otu0915,Otu1957,-0.290805,0.00666,0.206694947,0.290805,1
Otu0918,Otu0967,-0.186517,0.049034,0.344126687,0.186517,0
Otu0918,Otu0968,-0.208771,0.041448,0.333572859,0.208771,1
Otu0918,Otu1149,0.194927,0.046418,0.343522486,0.194927,0
Otu0918,Otu1957,-0.302817,0.004848,0.1777095,0.302817,1
Otu0945,Otu1404,-0.219178,0.024566,0.294095513,0.219178,1
Otu0945,Otu1907,-0.16596,0.042264,0.333572859,0.16596,0
Otu0967,Otu0968,0.20627,0.040752,0.333572859,0.20627,1
Otu0967,Otu1797,-0.158721,0.039192,0.333572859,0.158721,0
Otu0967,Otu1903,-0.256038,0.004536,0.169805714,0.256038,1
Otu0968,Otu1411,0.215977,0.03756,0.333572859,0.215977,1
Otu0968,Otu1703,-0.204491,0.018276,0.276616103,0.204491,1
Otu0968,Otu1897,0.18928,0.04506,0.336927439,0.18928,0
Otu0968,Otu1957,0.221272,0.034116,0.330093738,0.221272,1
Otu0968,Otu1985,0.25737,0.01722,0.27441944,0.25737,1
Otu1109,Otu1895,-0.170726,0.031056,0.312692601,0.170726,0
Otu1149,Otu1840,-0.213607,0.00222,0.130203,0.213607,1
Otu1149,Otu1915,-0.139873,0.034106,0.330093738,0.139873,0
Otu1149,Otu1917,-0.19157,0.005772,0.188462,0.19157,0
Otu1404,Otu1717,-0.258264,0.00864,0.219767226,0.258264,1
Otu1404,Otu1903,0.281209,0.014856,0.270171907,0.281209,1
Otu1411,Otu1661,-0.179841,0.02526,0.297788744,0.179841,0
