Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation.strength
Otu0797,Otu0798,0.648243,0.02359,0.459392951,0.648243,3
Otu0797,Otu0804,0.791439,0.00649,0.392525854,0.791439,3
Otu0797,Otu0805,0.871861,0.00115,0.207530769,0.871861,3
Otu0797,Otu0809,0.740594,0.00982,0.414967792,0.740594,3
Otu0797,Otu0886,-0.439684,0.02079,0.459392951,0.439684,2
Otu0797,Otu1897,-0.559848,0.00191,0.28005375,0.559848,2
Otu0797,Otu1917,-0.491193,0.01535,0.424764,0.491193,2
Otu0798,Otu0804,0.86067,0.0051,0.39054,0.86067,3
Otu0798,Otu0805,0.794984,0.00872,0.414967792,0.794984,3
Otu0798,Otu0809,0.759896,0.01249,0.414967792,0.759896,3
Otu0798,Otu1717,0.606894,0.03399,0.460076667,0.606894,3
Otu0798,Otu1915,-0.481463,0.0353,0.460076667,0.481463,2
Otu0800,Otu0817,-0.406469,0.04439,0.494950508,0.406469,2
Otu0801,Otu0804,0.737017,0.00682,0.392525854,0.737017,3
Otu0801,Otu0805,0.69276,0.01053,0.414967792,0.69276,3
Otu0801,Otu1703,-0.529322,0.00848,0.414967792,0.529322,2
Otu0804,Otu0805,0.953875,8.00E-05,0.08602,0.953875,3
Otu0804,Otu0809,0.791184,0.01092,0.414967792,0.791184,3
Otu0804,Otu1887,0.614177,0.03306,0.460076667,0.614177,3
Otu0805,Otu0809,0.767163,0.01001,0.414967792,0.767163,3
Otu0805,Otu1887,0.646756,0.02389,0.459392951,0.646756,3
Otu0805,Otu1897,-0.422516,0.02265,0.459392951,0.422516,2
Otu0809,Otu0886,-0.41236,0.02347,0.459392951,0.41236,2
Otu0809,Otu1897,-0.381998,0.03446,0.460076667,0.381998,1
Otu0817,Otu1895,-0.51627,0.03097,0.460076667,0.51627,2
Otu0886,Otu1891,-0.420844,0.0272,0.460076667,0.420844,2
Otu0886,Otu1957,-0.390062,0.03415,0.460076667,0.390062,1
Otu0915,Otu0918,0.870103,0.00022,0.08602,0.870103,3
Otu0915,Otu1797,-0.546733,0.01786,0.459392951,0.546733,2
Otu0915,Otu1858,-0.406154,0.0412,0.493138776,0.406154,2
Otu0915,Otu1907,-0.531926,0.01216,0.414967792,0.531926,2
Otu0915,Otu1932,-0.450285,0.04154,0.494684467,0.450285,2
Otu0918,Otu1109,0.46999,0.03794,0.473442766,0.46999,2
Otu0918,Otu1797,-0.583526,0.01045,0.414967792,0.583526,2
Otu0918,Otu1858,-0.554901,0.00557,0.39054,0.554901,2
Otu0918,Otu1915,0.602937,0.01273,0.414967792,0.602937,3
Otu0918,Otu1932,-0.478744,0.03103,0.460076667,0.478744,2
Otu0945,Otu1899,0.456556,0.03793,0.473442766,0.456556,2
Otu0945,Otu1915,-0.45797,0.03357,0.460076667,0.45797,2
Otu0945,Otu1935,-0.598646,0.00234,0.28152,0.598646,2
Otu0967,Otu1411,0.423202,0.04527,0.494950508,0.423202,2
Otu0967,Otu1853,0.447578,0.04789,0.494950508,0.447578,2
Otu0967,Otu1915,-0.429302,0.02707,0.460076667,0.429302,2
Otu0967,Otu1917,-0.423405,0.01761,0.459392951,0.423405,2
Otu0968,Otu1887,-0.418563,0.03401,0.460076667,0.418563,2
Otu0968,Otu1891,-0.414242,0.03472,0.460076667,0.414242,2
Otu0968,Otu1947,-0.349976,0.04929,0.494950508,0.349976,1
Otu1109,Otu1858,-0.39235,0.02143,0.459392951,0.39235,1
Otu1109,Otu1915,0.560277,0.00815,0.414967792,0.560277,2
Otu1149,Otu1891,0.543925,0.01238,0.414967792,0.543925,2
Otu1149,Otu1899,-0.37087,0.03261,0.460076667,0.37087,1
Otu1149,Otu1900,0.500865,0.01678,0.452481379,0.500865,2
Otu1149,Otu1947,0.444717,0.03001,0.460076667,0.444717,2
Otu1411,Otu1853,0.552787,0.01356,0.414967792,0.552787,2
Otu1411,Otu1915,-0.423835,0.03465,0.460076667,0.423835,2
Otu1501,Otu1937,0.463995,0.02945,0.460076667,0.463995,2
Otu1661,Otu1899,-0.373289,0.04922,0.494950508,0.373289,1
Otu1661,Otu1903,-0.433007,0.03632,0.468168791,0.433007,2
Otu1661,Otu1947,0.492204,0.03514,0.460076667,0.492204,2
Otu1703,Otu1895,-0.443209,0.02754,0.460076667,0.443209,2
Otu1703,Otu1897,0.423136,0.02378,0.459392951,0.423136,2
Otu1717,Otu1903,-0.432252,0.04396,0.494950508,0.432252,2
Otu1717,Otu1915,-0.439426,0.04392,0.494950508,0.439426,2
Otu1717,Otu1917,-0.447017,0.02201,0.459392951,0.447017,2
Otu1797,Otu1915,-0.523803,0.01348,0.414967792,0.523803,2
Otu1840,Otu1937,0.493168,0.03059,0.460076667,0.493168,2
Otu1858,Otu1932,0.443708,0.03729,0.473442766,0.443708,2
Otu1891,Otu1900,0.695638,0.00373,0.332784444,0.695638,3
Otu1895,Otu1937,0.503155,0.02358,0.459392951,0.503155,2
Otu1897,Otu1917,0.425566,0.02347,0.459392951,0.425566,2
Otu1899,Otu1935,-0.486919,0.01461,0.424764,0.486919,2
Otu1899,Otu1947,-0.517534,0.00666,0.392525854,0.517534,2
Otu1903,Otu1915,0.599706,0.00771,0.412682727,0.599706,2
Otu1903,Otu1917,0.412232,0.04715,0.494950508,0.412232,2
Otu1907,Otu1957,-0.378088,0.047,0.494950508,0.378088,1
Otu1915,Otu1917,0.481361,0.02305,0.459392951,0.481361,2
Otu1932,Otu1957,-0.439895,0.0231,0.459392951,0.439895,2
Otu0030,Otu0030,0,1,1,0,0
Otu0291,Otu0291,0,1,1,0,0
Otu0302,Otu0302,0,1,1,0,0
Otu0309,Otu0309,0,1,1,0,0
Otu0314,Otu0314,0,1,1,0,0
Otu0348,Otu0348,0,1,1,0,0
Otu0465,Otu0465,0,1,1,0,0
Otu0501,Otu0501,0,1,1,0,0
Otu0528,Otu0528,0,1,1,0,0
Otu0552,Otu0552,0,1,1,0,0
Otu0599,Otu0599,0,1,1,0,0
Otu0616,Otu0616,0,1,1,0,0
Otu0664,Otu0664,0,1,1,0,0
Otu0669,Otu0669,0,1,1,0,0
Otu0691,Otu0691,0,1,1,0,0
Otu0705,Otu0705,0,1,1,0,0
Otu0711,Otu0711,0,1,1,0,0
Otu0716,Otu0716,0,1,1,0,0
Otu0728,Otu0728,0,1,1,0,0
Otu0745,Otu0745,0,1,1,0,0
Otu0772,Otu0772,0,1,1,0,0
Otu0776,Otu0776,0,1,1,0,0
Otu0781,Otu0781,0,1,1,0,0
Otu0790,Otu0790,0,1,1,0,0
Otu0792,Otu0792,0,1,1,0,0
Otu0795,Otu0795,0,1,1,0,0
Otu0796,Otu0796,0,1,1,0,0
Otu0797,Otu0797,0,1,1,0,0
Otu0798,Otu0798,0,1,1,0,0
Otu0800,Otu0800,0,1,1,0,0
Otu0801,Otu0801,0,1,1,0,0
Otu0804,Otu0804,0,1,1,0,0
Otu0805,Otu0805,0,1,1,0,0
Otu0809,Otu0809,0,1,1,0,0
Otu0817,Otu0817,0,1,1,0,0
Otu0886,Otu0886,0,1,1,0,0
Otu0915,Otu0915,0,1,1,0,0
Otu0918,Otu0918,0,1,1,0,0
Otu0945,Otu0945,0,1,1,0,0
Otu0967,Otu0967,0,1,1,0,0
Otu0968,Otu0968,0,1,1,0,0
Otu1109,Otu1109,0,1,1,0,0
Otu1149,Otu1149,0,1,1,0,0
Otu1404,Otu1404,0,1,1,0,0
Otu1411,Otu1411,0,1,1,0,0
Otu1501,Otu1501,0,1,1,0,0
Otu1661,Otu1661,0,1,1,0,0
Otu1703,Otu1703,0,1,1,0,0
Otu1717,Otu1717,0,1,1,0,0
Otu1797,Otu1797,0,1,1,0,0
Otu1840,Otu1840,0,1,1,0,0
Otu1853,Otu1853,0,1,1,0,0
Otu1858,Otu1858,0,1,1,0,0
Otu1887,Otu1887,0,1,1,0,0
Otu1891,Otu1891,0,1,1,0,0
Otu1895,Otu1895,0,1,1,0,0
Otu1897,Otu1897,0,1,1,0,0
Otu1899,Otu1899,0,1,1,0,0
Otu1900,Otu1900,0,1,1,0,0
Otu1903,Otu1903,0,1,1,0,0
Otu1907,Otu1907,0,1,1,0,0
Otu1915,Otu1915,0,1,1,0,0
Otu1917,Otu1917,0,1,1,0,0
Otu1932,Otu1932,0,1,1,0,0
Otu1935,Otu1935,0,1,1,0,0
Otu1937,Otu1937,0,1,1,0,0
Otu1947,Otu1947,0,1,1,0,0
Otu1957,Otu1957,0,1,1,0,0
Otu1985,Otu1985,0,1,1,0,0
