Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation.strength
Otu0705,Otu0790,-0.231554,0.026844,0.269368923,0.231554,1
Otu0705,Otu1149,0.239107,0.017448,0.231821497,0.239107,1
Otu0705,Otu1947,-0.203962,0.02352,0.256641488,0.203962,1
Otu0705,Otu1957,-0.166553,0.049836,0.328361143,0.166553,0
Otu0711,Otu0716,-0.277883,0.004056,0.121516861,0.277883,1
Otu0711,Otu0745,0.311691,0.008592,0.166373705,0.311691,1
Otu0711,Otu0792,-0.284585,0.0069,0.152711321,0.284585,1
Otu0711,Otu0795,-0.265698,0.012144,0.191206872,0.265698,1
Otu0711,Otu0796,-0.26835,0.0099,0.171396,0.26835,1
Otu0711,Otu0797,-0.268783,0.0096,0.169335338,0.268783,1
Otu0711,Otu0804,-0.275663,0.008652,0.166373705,0.275663,1
Otu0711,Otu0805,-0.352663,0.00066,0.04838625,0.352663,1
Otu0711,Otu0817,0.30095,0.01355,0.20387786,0.30095,1
Otu0711,Otu0886,0.331042,0.001728,0.073707055,0.331042,1
Otu0711,Otu1149,0.209504,0.033408,0.289207262,0.209504,1
Otu0711,Otu1411,-0.169069,0.041328,0.315815922,0.169069,0
Otu0711,Otu1797,-0.197084,0.02184,0.249934829,0.197084,0
Otu0711,Otu1897,0.205413,0.034428,0.292417548,0.205413,1
Otu0716,Otu1411,0.274981,0.017604,0.231821497,0.274981,1
Otu0716,Otu1840,-0.193022,0.02454,0.261648,0.193022,0
Otu0728,Otu0797,0.359498,0.011856,0.189595102,0.359498,1
Otu0728,Otu0798,0.460941,0.001812,0.075909857,0.460941,2
Otu0728,Otu0800,-0.203723,0.04782,0.327624,0.203723,1
Otu0728,Otu0817,0.542846,0.000168,0.018768,0.542846,2
Otu0728,Otu0945,0.340436,0.010452,0.173903489,0.340436,1
Otu0728,Otu1109,-0.222645,0.029748,0.284967184,0.222645,1
Otu0728,Otu1149,-0.237039,0.013932,0.205457143,0.237039,1
Otu0728,Otu1858,0.22916,0.041568,0.315867262,0.22916,1
Otu0728,Otu1887,-0.404564,0.00114,0.059432,0.404564,2
Otu0728,Otu1937,-0.201567,0.049812,0.328361143,0.201567,1
Otu0745,Otu0792,-0.273118,0.020304,0.239504201,0.273118,1
Otu0745,Otu0886,0.24639,0.027396,0.272334814,0.24639,1
Otu0745,Otu0915,-0.285596,0.018456,0.236079,0.285596,1
Otu0745,Otu0918,-0.233109,0.04602,0.327624,0.233109,1
Otu0745,Otu0967,0.239261,0.032376,0.2887144,0.239261,1
Otu0745,Otu1661,0.302402,0.010272,0.172129371,0.302402,1
Otu0745,Otu1797,-0.182066,0.049968,0.328361143,0.182066,0
Otu0745,Otu1891,0.410979,0.00264,0.095283692,0.410979,2
Otu0745,Otu1897,0.20946,0.04212,0.31772836,0.20946,1
Otu0772,Otu0776,0.587901,1.20E-05,0.0017595,0.587901,2
Otu0772,Otu0781,0.62041,0,0,0.62041,3
Otu0772,Otu0790,0.275594,0.038016,0.30498,0.275594,1
Otu0772,Otu0886,-0.25284,0.010836,0.177771021,0.25284,1
Otu0772,Otu1404,0.244154,0.045096,0.327539368,0.244154,1
Otu0772,Otu1661,-0.237532,0.0228,0.254551963,0.237532,1
Otu0776,Otu0781,0.387612,0.004512,0.12908722,0.387612,1
Otu0776,Otu0886,-0.227599,0.017688,0.231821497,0.227599,1
Otu0776,Otu0915,0.349646,0.008892,0.168267298,0.349646,1
Otu0776,Otu1661,-0.22464,0.024648,0.261648,0.22464,1
Otu0776,Otu1932,-0.225151,0.031308,0.2880336,0.225151,1
Otu0781,Otu0886,-0.258581,0.010104,0.172129371,0.258581,1
Otu0790,Otu0792,0.301519,0.026316,0.267261195,0.301519,1
Otu0790,Otu0795,0.400706,0.005988,0.146274309,0.400706,2
Otu0790,Otu0801,0.374317,0.008616,0.166373705,0.374317,1
Otu0790,Otu0805,0.358761,0.01188,0.189595102,0.358761,1
Otu0790,Otu0918,0.358038,0.007536,0.157852286,0.358038,1
Otu0790,Otu1149,-0.300054,0.002292,0.085349714,0.300054,1
Otu0790,Otu1717,-0.21542,0.03276,0.2887144,0.21542,1
Otu0790,Otu1858,-0.17726,0.047196,0.327624,0.17726,0
Otu0792,Otu0795,0.554952,7.20E-05,0.009384,0.554952,2
Otu0792,Otu0796,0.410783,0.003804,0.11898912,0.410783,2
Otu0792,Otu0797,0.371315,0.007752,0.1593648,0.371315,1
Otu0792,Otu0801,0.543372,8.40E-05,0.010371789,0.543372,2
Otu0792,Otu0804,0.28575,0.033228,0.2887144,0.28575,1
Otu0792,Otu0805,0.447575,0.001632,0.072986667,0.447575,2
Otu0792,Otu0809,0.315943,0.018948,0.236446851,0.315943,1
Otu0792,Otu0915,0.392351,0.00408,0.121516861,0.392351,1
Otu0792,Otu0918,0.302628,0.023124,0.254551963,0.302628,1
Otu0792,Otu1149,-0.283497,0.00324,0.108988457,0.283497,1
Otu0792,Otu1899,-0.217924,0.036914,0.303860505,0.217924,1
Otu0795,Otu0796,0.805486,0,0,0.805486,3
Otu0795,Otu0797,0.736449,0,0,0.736449,3
Otu0795,Otu0798,0.709894,0,0,0.709894,3
Otu0795,Otu0801,0.542355,0.000156,0.0182988,0.542355,2
Otu0795,Otu0804,0.643347,0,0,0.643347,3
Otu0795,Otu0805,0.778261,0,0,0.778261,3
Otu0795,Otu0915,0.327909,0.013176,0.202032,0.327909,1
Otu0795,Otu0918,0.461202,0.00072,0.050508,0.461202,2
Otu0795,Otu1149,-0.178048,0.048912,0.328361143,0.178048,0
Otu0795,Otu1887,-0.290821,0.01794,0.232526188,0.290821,1
Otu0795,Otu1900,0.382374,0.003516,0.112227568,0.382374,1
Otu0796,Otu0797,0.752644,0,0,0.752644,3
Otu0796,Otu0798,0.746012,0,0,0.746012,3
Otu0796,Otu0801,0.457913,0.001488,0.072986667,0.457913,2
Otu0796,Otu0804,0.476936,0.00096,0.054963429,0.476936,2
Otu0796,Otu0805,0.695391,0,0,0.695391,3
Otu0796,Otu0817,0.275508,0.042372,0.318099669,0.275508,1
Otu0796,Otu0918,0.302354,0.022152,0.252274718,0.302354,1
Otu0796,Otu1501,-0.206796,0.02976,0.284967184,0.206796,1
Otu0796,Otu1887,-0.398219,0.00108,0.058863273,0.398219,1
Otu0796,Otu1900,0.360956,0.005664,0.144432,0.360956,1
Otu0796,Otu1947,0.265914,0.033,0.2887144,0.265914,1
Otu0797,Otu0798,0.688788,0,0,0.688788,3
Otu0797,Otu0801,0.531067,0.000228,0.023256,0.531067,2
Otu0797,Otu0804,0.421544,0.003252,0.108988457,0.421544,2
Otu0797,Otu0805,0.649548,0,0,0.649548,3
Otu0797,Otu0817,0.377079,0.00924,0.168267298,0.377079,1
Otu0797,Otu0918,0.395626,0.002856,0.101517818,0.395626,1
Otu0797,Otu1149,-0.255379,0.008256,0.165810508,0.255379,1
Otu0797,Otu1840,-0.211847,0.024552,0.261648,0.211847,1
Otu0797,Otu1887,-0.440345,0.000312,0.028152,0.440345,2
Otu0797,Otu1897,-0.228084,0.013584,0.20387786,0.228084,1
Otu0797,Otu1900,0.309124,0.014076,0.205457143,0.309124,1
Otu0797,Otu1903,0.255413,0.03666,0.302832254,0.255413,1
Otu0798,Otu0801,0.373113,0.009348,0.168267298,0.373113,1
Otu0798,Otu0804,0.27398,0.044544,0.3265632,0.27398,1
Otu0798,Otu0805,0.603098,3.60E-05,0.004968,0.603098,3
Otu0798,Otu0817,0.415714,0.004656,0.131376,0.415714,2
Otu0798,Otu0918,0.311524,0.018084,0.233104747,0.311524,1
Otu0798,Otu1411,-0.278514,0.007812,0.1593648,0.278514,1
Otu0798,Otu1887,-0.373707,0.002148,0.081277548,0.373707,1
Otu0798,Otu1891,0.262775,0.04788,0.327624,0.262775,1
Otu0798,Otu1900,0.290474,0.023076,0.254551963,0.290474,1
Otu0798,Otu1957,-0.29993,0.005868,0.146274309,0.29993,1
Otu0800,Otu1411,-0.166915,0.049272,0.328361143,0.166915,0
Otu0800,Otu1899,0.322583,0.004704,0.131376,0.322583,1
Otu0800,Otu1932,0.238186,0.032352,0.2887144,0.238186,1
Otu0801,Otu0804,0.272294,0.040634,0.315815922,0.272294,1
Otu0801,Otu0805,0.535493,0.000204,0.021753818,0.535493,2
Otu0801,Otu0915,0.381529,0.004092,0.121516861,0.381529,1
Otu0801,Otu0918,0.44304,0.001104,0.058863273,0.44304,2
Otu0801,Otu1149,-0.324619,0.000792,0.051612,0.324619,1
Otu0801,Otu1411,-0.252961,0.013644,0.20387786,0.252961,1
Otu0801,Otu1501,-0.268932,0.00594,0.146274309,0.268932,1
Otu0801,Otu1897,-0.196578,0.026868,0.269368923,0.196578,0
Otu0801,Otu1900,0.28072,0.025128,0.264351067,0.28072,1
Otu0801,Otu1935,0.237994,0.049332,0.328361143,0.237994,1
Otu0804,Otu0805,0.396324,0.005448,0.140450637,0.396324,1
Otu0804,Otu0915,0.259691,0.043548,0.324193443,0.259691,1
Otu0804,Otu0918,0.319982,0.016692,0.229002526,0.319982,1
